word,naver_ipa,google_ipa,pronounciation,meaning,pronunciation
felon,ˈfelən,ˈfelən,[feh]·luhn,"중죄인, 흉악범",펠런
peccable,pékəbl,ˈpekəb(ə)l,[peh]·kuh·bl,과오를 범하기 쉬운,페커블
demolish,dɪ|mɑːlɪʃ,dəˈmäliSH,duh·[maa]·luhsh,"때려 부수다, 파괴하다, 철거하다",디말리쉬
mayhem,ˈmeɪhem,ˈmāˌ(h)em,[may]·hem,"대혼란, 아수라장",메이헴
squander,|skwɑːndə(r),ˈskwändər,[skwaan]·dr,낭비하다,스콴더
detriment,ˈdetrɪmənt,ˈdetrəm(ə)nt,[deh]·truh·muhnt,"손해, 손상",데트러먼트
autopsy,ˈɔːtɑːpsi,ˈôˌtäpsē,[aa]·taap·see,(사체의) 부검,오탑시
frivolous,ˈfrɪvələs,ˈfrivələs,[fri]·vuh·luhs,"경박한, 경솔한, 하찮은",프리벌러스
abdominal,æb|dɑːmɪnl,abˈdämən(ə)l,uhb·[daa]·muh·nuhl,"복부의, 배의",앱다머널
incumbent,ɪnˈkʌmbənt,inˈkəmbənt,uhn·[kuhm]·bnt,"의무러서 지워지는, 현직의, 재임 중인",인컴번트
reckon,ˈrekən,ˈrek(ə)n,[reh]·kn,"(~라고) 생각하다, 예상하다",레컨
delirium,dɪ|lɪriəm,dəˈlirēəm,duh·[lee]·ree·uhm,"정신 착란, 헛소리",딜리어리엄
provisional,prəˈvɪʒənl,prəˈviZH(ə)nəl,pruh·[vi]·zhuh·nuhl,"임시의, 일시적인",프러비저널
render,ˈrendə(r),ˈrendər,[ren]·dr,"(어떤 상태가 되게) 만들다, ~하게 하다, 주다, 제출하다",렌더
canny,ˈkæni,ˈkanē,[ka]·nee,"약삭빠른, 영리한",캐니
incumbent,ɪnˈkʌmbənt,inˈkəmbənt,uhn·[kuhm]·bnt,"의무로서 지워지는, 현직의, 재임 중인",인컴번트
probation,proʊ|beɪʃn ,prōˈbāSH(ə)n,prow·[bay]·shn,"집행유예, 보호관찰, 수습",프로베이션
albeit,ˌɔːlˈbiːɪt,alˈbēət,aal·[bee]·uht,비록 ~이기는 하나,올비이트
bureaucracy,bjʊ|rɑːkrəsi,byo͝oˈräkrəsē,byoo·[raa]·kruh·see,"관료정치, 관료체제, 관료",뷰어라크러시
esoteric,|esə│terɪk;,ˌesəˈterik,eh·suh·[teh]·ruhk,"비법을 이어받은, 소수만 이해하는",에서테릭
inebriate,iní:brièit,iˈnēbrē,i·[nee]·bree·uht,"취하게 하다, 술꾼",인이브리에이트
ingenious,ɪnˈdʒiːniəs,inˈjēnyəs,uhn·[jee]·nee·uhs,"(생각 등이) 기발한, 창의적인",인지니어스
insolvent,ɪn|sɑːlvənt,inˈsälv(ə)nt,in·[saal]·vnt,파산한,인살번트
incinerate,ɪnˈsɪnəreɪt,inˈsinəˌrāt,uhn·[si]·nr·ayt,태워 없애다,인시너레이트
indolent,ˈɪndələnt,ˈindələnt,[in]·duh·luhnt,나태한 게으른,인덜런트
inveterate,ɪnˈvetərət,inˈvedərət,uhn·[veh]·tr·uht,"(습관 등이) 뿌리 깊은, 고질적인",인베터럿
iniquitous,ɪˈnɪkwɪtəs,iˈnikwədəs,uh·[ni]·kwuh·tuhs,"부정한, 부당한",이니쿼터스
incarcerate,ɪn|kɑːrsəreɪt,inˈkärsə,uhn·[kaar]·sr·ayt,"투옥하다, 감금하다",인카서레이트
incorrigible,ɪn|kɔːrɪdʒəbl,ˌinˈkôrəjəb(ə)l,in·[kaa]·ruh·juh·bl,"교정할 수 없는, 고질적인",인코리저블
insurrection,ˌɪnsəˈrekʃn,ˌinsəˈrekSH(ə)n,in·sr·[ek]·shn,"폭동, 반란",인서렉션
intransigent,ɪn|trænzɪdʒənt,inˈtransəjənt,in·[tran]·zuh·jnt,"비협조적인, 비타협적인",인트랜서전트
upheaval,ʌpˈhiːvl,ˌəpˈhēv(ə)l,uhp·[hee]·vl,"대변동, 격변",어프히블
recidivist,rɪˈsɪdɪvɪst,rəˈsidəvəst,ruh·[si]·duh·vuhst,상습범,리시더비스트
redoubtable,rɪˈdaʊtəbl,rəˈdoudəb(ə)l,ree·[dau]·tuh·bl,"가공할, 무시무시한, 경외할 만한",리다우터블
resuscitate,rɪˈsʌsɪteɪt,rəˈsəsəˌtāt,ruh·[suh]·suh·tayt,소생시키다,리서서테이트
refurbish,|riː│fɜːrbɪʃ,rēˈfərbiSH,ruh·[fur]·buhsh,"(방, 건물 등을) 새로 꾸미다, 쇄신하다",리퍼비쉬
reticent,ˈretɪsnt,ˈredəs(ə)nt,[reh]·tuh·snt,"과묵한, 말이 없는",레터선트
remunerate,rɪˈmjuːnəreɪt,rəˈmyo͞onəˌrāt,ree·[myoo]·nr·ayt,"보상하다, 보수를 주다",리뮤너레이트
retribution,ˌretrɪˈbjuːʃn,ˌretrəˈbyo͞oSH(ə)n,reh·truh·[byoo]·shn,"응징, 천벌",레트러뷰션
repercussion,|riːpər│kʌʃn,ˌrēpərˈkəSH(ə)n,ree·pr·[kuh]·shn,"영향, 파급효과",리펄커션
reimburse,|riːɪm│bɜːrs,ˌrēəmˈbərs,ree·uhm·[burs],"갚다, 상환하다",리임버스
anachronism,əˈnækrənɪzəm,əˈnakrəˌnizəm,uh·[na]·kruh·ni·zm,"시대착오, 시대착오적인 사람(관습/생각)",어내크러니즘
meddlesome,ˈmedlsəm,ˈmed(ə)lsəm,[meh]·duhl·sm,참견하기를 좋아하는,메들섬
annihilate,əˈnaɪəleɪt,əˈnīəˌlāt,uh·[nai]·uh·layt,"전멸시키다, 붕괴하다",어나이얼레이트
fictitious,fɪkˈtɪʃəs,fikˈtiSHəs,fuhk·[ti]·shuhs,"허구의, 지어낸",픽티셔스
congenital,kənˈdʒenɪtl,kənˈjenədl,kuhn·[jeh]·nuh·tl,"타고난, 선천적인",컨제너틀